date,year,month,day,decimal,co2_molfrac,day_of_year,co2_30d_avg,co2_365_avg,daily_diff,monthly_diff,monthly_change
1985-08-31,1985.0,8.0,19.1875,1985.63065625,345.024375,231.1875,345.72,346.10125,-0.10187499999999972,-1.98,-0.5700185962461579
1985-09-30,1985.0,9.0,15.291666666666666,1985.7049083333334,343.47291666666666,258.2916666666667,344.3320833333333,346.13166666666666,-0.05583333333333229,-1.55,-0.4496662977313881
1985-10-31,1985.0,10.0,17.1,1985.79205,343.3775,290.1,343.069,346.114,0.08699999999999761,-0.1,-0.02777996809549821
1985-11-30,1985.0,11.0,16.0,1985.873976190476,344.757619047619,320.0,344.0438095238095,346.17333333333335,0.060000000000002274,1.38,0.40192471772875216
1985-12-31,1985.0,12.0,17.0,1985.9589,346.15346153846156,351.0,345.61846153846153,346.24346153846153,0.07538461538461459,1.4,0.4048764737088373
1986-01-31,1986.0,1.0,16.76,1986.0431839999999,346.7956,16.76,346.5964,346.3444,-0.024400000000000546,0.64,0.18550687278540146
1986-02-28,1986.0,2.0,14.52,1986.121972,347.478,45.52,347.0604,346.458,0.03120000000000118,0.68,0.19677296943791944
1986-03-31,1986.0,3.0,15.1875,1986.2005125,348.219375,74.1875,347.691875,346.510625,0.08437499999999787,0.74,0.21335883135047418
1986-04-30,1986.0,4.0,15.526315789473685,1986.2863684210527,349.86315789473684,105.52631578947368,349.29526315789474,346.56157894736845,0.10210526315789462,1.64,0.47205382949666586
1986-05-31,1986.0,5.0,16.88888888888889,1986.3723,350.51944444444445,136.88888888888889,350.39000000000004,346.63722222222225,-0.02499999999999937,0.66,0.18758378380185903
1986-06-30,1986.0,6.0,15.294117647058824,1986.452870588235,349.9929411764706,166.2941176470588,350.31,346.7217647058824,-0.07529411764705722,-0.53,-0.15020657949755822
1986-07-31,1986.0,7.0,15.3,1986.535065,348.29699999999997,196.3,349.106,346.8015,-0.07400000000000091,-1.7,-0.48456439457603695
1986-08-31,1986.0,8.0,15.666666666666666,1986.6210055555555,346.1933333333334,227.66666666666666,347.1383333333333,346.8755555555556,-0.13333333333333208,-2.1,-0.6039864445190668
1986-09-30,1986.0,9.0,18.58823529411765,1986.7139411764708,345.38529411764705,261.5882352941176,345.64882352941174,347.06117647058824,0.006470588235291576,-0.81,-0.23340692551936382
1986-10-31,1986.0,10.0,14.461538461538462,1986.7848192307692,344.7642307692308,287.46153846153845,344.9730769230769,347.15999999999997,0.01192307692307701,-0.62,-0.17981754260930627
1986-11-30,1986.0,11.0,16.272727272727273,1986.8747227272727,346.2581818181818,320.27272727272725,345.55227272727274,347.28,0.06909090909091085,1.49,0.43332541940843683
1986-12-31,1986.0,12.0,13.833333333333334,1986.9502249999998,347.4041666666667,347.8333333333333,346.90166666666664,347.39416666666665,0.012499999999998105,1.15,0.33096253277464793
1987-01-31,1987.0,1.0,14.64,1987.037372,348.69440000000003,14.64,348.0748,347.55080000000004,0.038400000000001454,1.29,0.3713925902826931
1987-02-28,1987.0,2.0,13.96,1987.1204360000002,348.9116,44.96,348.7536,347.7248,0.019199999999998454,0.22,0.062289500490964045
1987-03-31,1987.0,3.0,15.80952380952381,1987.2022190476189,349.80333333333334,74.80952380952381,349.3309523809524,347.87666666666667,0.08333333333333333,0.89,0.2555757198480446
1987-04-30,1987.0,4.0,16.384615384615383,1987.2887269230769,351.4311538461539,106.38461538461539,350.8184615384616,348.0473076923077,0.061538461538462416,1.63,0.46535305919150893
1987-05-31,1987.0,5.0,16.321428571428573,1987.3707392857143,352.15000000000003,136.32142857142858,351.8489285714286,348.28249999999997,0.007142857142856737,0.72,0.20454821548370195
1987-06-30,1987.0,6.0,13.363636363636363,1987.4475727272727,351.68136363636364,164.36363636363637,352.05863636363637,348.4990909090909,-0.052727272727271284,-0.47,-0.1330786209389201
1987-07-31,1987.0,7.0,14.058823529411764,1987.5316588235296,350.34529411764703,195.05882352941177,350.96999999999997,348.63235294117646,-0.08588235294117862,-1.34,-0.3799091043385827
1987-08-31,1987.0,8.0,16.066666666666666,1987.6221133333333,348.19733333333335,228.06666666666666,349.2213333333333,348.778,-0.23799999999999955,-2.15,-0.6130982263436335
1987-09-30,1987.0,9.0,17.0,1987.709586956522,346.6152173913043,260.0,347.1908695652174,348.84826086956525,-0.00869565217391255,-1.58,-0.45437336549457585
1987-10-31,1987.0,10.0,17.863636363636363,1987.7941454545455,346.77500000000003,290.8636363636364,346.5577272727273,349.02727272727276,0.05954545454545465,0.16,0.046097978587966715
1987-11-30,1987.0,11.0,15.391304347826088,1987.8723086956522,348.07608695652175,319.39130434782606,347.3752173913044,349.16,0.05434782608695652,1.3,0.3751962963078892
1987-12-31,1987.0,12.0,16.22222222222222,1987.9567666666667,349.292962962963,350.22222222222223,348.79555555555555,349.33037037037036,0.04814814814814857,1.22,0.3496005764375365
1988-01-31,1988.0,1.0,13.25,1988.0334708333332,350.4483333333333,13.25,349.8591666666667,349.48333333333335,0.03958333333333286,1.16,0.3307740186259789
1988-02-29,1988.0,2.0,16.52173913043478,1988.1271086956524,351.73739130434785,47.52173913043478,351.17782608695654,349.6986956521739,0.08739130434782569,1.29,0.36783110330516067
1988-03-31,1988.0,3.0,14.6,1988.201096,352.4564,74.6,352.2312,349.954,0.010799999999999272,0.72,0.20441633827608108
1988-04-30,1988.0,4.0,15.148148148148149,1988.287288888889,353.6618518518519,106.14814814814815,352.9225925925926,350.1629629629629,0.06296296296296465,1.21,0.3420144596188113
1988-05-31,1988.0,5.0,15.964285714285714,1988.3714857142857,354.3525,136.96428571428572,354.08964285714285,350.3825,-0.025357142857144157,0.69,0.1952848871122903
1988-06-30,1988.0,6.0,16.62962962962963,1988.4580037037038,353.812962962963,168.62962962962962,354.22703703703706,350.6037037037037,-0.03259259259259242,-0.54,-0.1522599775751532
1988-07-31,1988.0,7.0,16.40740740740741,1988.5393666666666,352.7677777777778,198.40740740740742,353.2988888888889,350.84222222222223,-0.0722222222222218,-1.05,-0.29540613109041436
1988-08-31,1988.0,8.0,16.692307692307693,1988.6248423076925,350.43730769230774,229.69230769230768,351.52884615384613,350.9930769230769,-0.07961538461538435,-2.33,-0.6606244198805733
1988-09-30,1988.0,9.0,15.26923076923077,1988.7056576923076,348.97923076923075,259.2692307692308,349.6134615384616,351.0969230769231,-0.007692307692307255,-1.46,-0.4160735432761631
1988-10-31,1988.0,10.0,16.46153846153846,1988.790876923077,349.3861538461539,290.46153846153845,349.0811538461539,351.26346153846157,0.022307692307691696,0.41,0.11660380935167858
1988-11-30,1988.0,11.0,16.48,1988.8756279999998,350.4716,321.48,349.94239999999996,351.45599999999996,0.04,1.09,0.31067234402313293
