ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2025-05-31,426.4105601140908,428.56150793771224,430.324789497674,426.4105601140908,426.4105601140908,3.03247495442892,3.03247495442892,3.03247495442892,-0.007868744243142588,-0.007868744243142588,-0.007868744243142588,3.0403436986720624,3.0403436986720624,3.0403436986720624,0.0,0.0,0.0,429.4430350685197
2025-06-30,426.6176734598629,427.4171175125183,429.13395022544336,426.6176734598629,426.6176734598629,1.6269239817505954,1.6269239817505954,1.6269239817505954,-0.008414442404564314,-0.008414442404564314,-0.008414442404564314,1.6353384241551594,1.6353384241551594,1.6353384241551594,0.0,0.0,0.0,428.2445974416135
2025-07-31,426.8316905838274,425.52416038353425,427.17851216164644,426.8316905838274,426.8316905838274,-0.5046188918770657,-0.5046188918770657,-0.5046188918770657,0.0003712286249465595,0.0003712286249465595,0.0003712286249465595,-0.5049901205020123,-0.5049901205020123,-0.5049901205020123,0.0,0.0,0.0,426.3270716919504
2025-08-31,427.0457077077919,423.54644752773066,425.3286164765332,427.0457077077919,427.0457077077919,-2.6364107514053607,-2.6364107514053607,-2.6364107514053607,0.016288568696881854,0.016288568696881854,0.016288568696881854,-2.652699320102242,-2.652699320102242,-2.652699320102242,0.0,0.0,0.0,424.4092969563865
2025-09-30,427.25282105356393,422.7455498343272,424.50280356779064,427.25282105356393,427.25282105356393,-3.6485854780892812,-3.6485854780892812,-3.6485854780892812,-0.0007870419084687944,-0.0007870419084687944,-0.0007870419084687944,-3.6477984361808127,-3.6477984361808127,-3.6477984361808127,0.0,0.0,0.0,423.60423557547466
2025-10-31,427.4668381775284,423.76946411983243,425.4724664568729,427.4668381775284,427.46804167250275,-2.8114768232766396,-2.8114768232766396,-2.8114768232766396,-0.0008268444765782633,-0.0008268444765782633,-0.0008268444765782633,-2.810649978800061,-2.810649978800061,-2.810649978800061,0.0,0.0,0.0,424.6553613542518
2025-11-30,427.6739515233005,425.4212492555268,427.18687855249766,427.6651510216022,427.68666939097136,-1.3897159917972566,-1.3897159917972566,-1.3897159917972566,0.016288568696880976,0.016288568696880976,0.016288568696880976,-1.4060045604941376,-1.4060045604941376,-1.4060045604941376,0.0,0.0,0.0,426.28423553150327
2025-12-31,427.887968647265,426.7872159582765,428.587160153321,427.87024362222996,427.9190070172821,-0.2587192274631477,-0.2587192274631477,-0.2587192274631477,0.0012372757108944817,0.0012372757108944817,0.0012372757108944817,-0.2599565031740421,-0.2599565031740421,-0.2599565031740421,0.0,0.0,0.0,427.62924941980185
2026-01-31,428.1019857712294,427.75019260657245,429.5257724257717,428.0702299776216,428.1630195160284,0.4975810233218384,0.4975810233218384,0.4975810233218384,-0.007868744243098386,-0.007868744243098386,-0.007868744243098386,0.5054497675649368,0.5054497675649368,0.5054497675649368,0.0,0.0,0.0,428.59956679455127
2026-02-28,428.29529156061676,428.4243710486664,430.25224704209546,428.2507249141493,428.39041433869346,1.056427791517579,1.056427791517579,1.056427791517579,-0.007868744243059785,-0.007868744243059785,-0.007868744243059785,1.064296535760639,1.064296535760639,1.064296535760639,0.0,0.0,0.0,429.35171935213435
